cluster,gene,,,,,,,,,
7,Potential_gene_1:506..1546_1041_bp,Potential_gene_9:8041..9081_1041_bp,Potential_gene_5:2904..3944_1041_bp,Potential_gene_3:1919..2959_1041_bp,Potential_gene_11:9768..10808_1041_bp,Potential_gene_7:5647..6687_1041_bp,Potential_gene_22:17922..18962_1041_bp,,,
1,Potential_gene_2:923..1342_420_bp,,,,,,,,,
2,Potential_gene_15:15419..16615_1197_bp,Potential_gene_23:24361..25557_1197_bp,,,,,,,,
1,Potential_gene_19:12283..12501_219_bp,,,,,,,,,
1,Potential_gene_9:10657..11385_729_bp,,,,,,,,,
1,Potential_gene_30:33674..33862_189_bp,,,,,,,,,
3,Potential_gene_7:4630..4974_345_bp,Potential_gene_119:115545..115889_345_bp,Potential_gene_7:5235..5579_345_bp,,,,,,,
1,Potential_gene_61:61088..61783_696_bp,,,,,,,,,
2,Potential_gene_1:946..1641_696_bp,Potential_gene_3:946..1641_696_bp,,,,,,,,
1,Potential_gene_45:35961..36368_408_bp,,,,,,,,,
3,Potential_gene_29:27799..28152_354_bp,Potential_gene_1:871..1224_354_bp,Potential_gene_39:37328..37681_354_bp,,,,,,,
2,Potential_gene_88:84715..85479_765_bp,Potential_gene_16:15650..16414_765_bp,,,,,,,,
8,Potential_gene_4:2523..2789_267_bp,Potential_gene_1:85..351_267_bp,Potential_gene_8:5579..5845_267_bp,Potential_gene_5:3574..3840_267_bp,Potential_gene_4:1864..2130_267_bp,Potential_gene_9:5579..5845_267_bp,Potential_gene_8:6748..7014_267_bp,Potential_gene_3:1277..1543_267_bp,,
3,Potential_gene_24:21347..21823_477_bp,Potential_gene_17:18029..18505_477_bp,Potential_gene_14:11818..12294_477_bp,,,,,,,
8,Potential_gene_2:2000..2509_510_bp,Potential_gene_6:3887..4396_510_bp,Potential_gene_17:12564..13073_510_bp,Potential_gene_1:392..901_510_bp,Potential_gene_7:4297..4806_510_bp,Potential_gene_56:86792..87301_510_bp,Potential_gene_26:56501..57010_510_bp,Potential_gene_17:16894..17403_510_bp,,
2,Potential_gene_15:16030..17073_1044_bp,Potential_gene_1:624..1667_1044_bp,,,,,,,,
2,Potential_gene_30:29339..29857_519_bp,Potential_gene_73:71077..71595_519_bp,,,,,,,,
2,Potential_gene_9:9822..10076_255_bp,Potential_gene_48:30735..30989_255_bp,,,,,,,,
2,Potential_gene_49:37653..38147_495_bp,Potential_gene_67:50969..51463_495_bp,,,,,,,,
1,Potential_gene_67:48391..49215_825_bp,,,,,,,,,
2,Potential_gene_9:8255..8854_600_bp,Potential_gene_28:28503..29102_600_bp,,,,,,,,
1,Potential_gene_44:43902..44258_357_bp,,,,,,,,,
2,Potential_gene_25:27146..27649_504_bp,Potential_gene_50:59170..59673_504_bp,,,,,,,,
3,Potential_gene_5:5021..5311_291_bp,Potential_gene_6:6649..6939_291_bp,Potential_gene_13:11185..11475_291_bp,,,,,,,
1,Potential_gene_5:4980..5252_273_bp,,,,,,,,,
2,Potential_gene_6:4036..5457_1422_bp,Potential_gene_8:4969..6390_1422_bp,,,,,,,,
1,Potential_gene_48:50267..50401_135_bp,,,,,,,,,
1,Potential_gene_1:51..905_855_bp,,,,,,,,,
1,Potential_gene_9:7284..7706_423_bp,,,,,,,,,
2,Potential_gene_71:81879..83030_1152_bp,Potential_gene_5:3846..4997_1152_bp,,,,,,,,
2,Potential_gene_5:3685..4272_588_bp,Potential_gene_6:3685..4272_588_bp,,,,,,,,
3,Potential_gene_8:7702..8133_432_bp,Potential_gene_78:72802..73233_432_bp,Potential_gene_27:27950..28381_432_bp,,,,,,,
1,Potential_gene_108:105719..106609_891_bp,,,,,,,,,
1,Potential_gene_29:15751..16029_279_bp,,,,,,,,,
1,Potential_gene_10:3549..4388_840_bp,,,,,,,,,
1,Potential_gene_71:67899..68711_813_bp,,,,,,,,,
1,Potential_gene_78:75717..76073_357_bp,,,,,,,,,
6,Potential_gene_4:2891..3751_861_bp,Potential_gene_10:8711..9571_861_bp,Potential_gene_3:2000..2860_861_bp,Potential_gene_7:5539..6399_861_bp,Potential_gene_5:4120..4980_861_bp,Potential_gene_2:1054..1914_861_bp,,,,
6,Potential_gene_12:13131..13664_534_bp,Potential_gene_1:124..657_534_bp,Potential_gene_12:8801..9334_534_bp,Potential_gene_2:534..1067_534_bp,Potential_gene_51:83029..83562_534_bp,Potential_gene_21:52738..53271_534_bp,,,,
2,Potential_gene_3:1563..2354_792_bp,Potential_gene_73:84522..85313_792_bp,,,,,,,,
2,Potential_gene_114:124199..125299_1101_bp,Potential_gene_6:2590..3690_1101_bp,,,,,,,,
1,Potential_gene_19:9667..10608_942_bp,,,,,,,,,
1,Potential_gene_103:99170..101008_1839_bp,,,,,,,,,
5,Potential_gene_10:9084..9701_618_bp,Potential_gene_13:12258..12875_618_bp,Potential_gene_9:8033..8650_618_bp,Potential_gene_14:11089..11706_618_bp,Potential_gene_13:11089..11706_618_bp,,,,,
3,Potential_gene_30:29478..29870_393_bp,Potential_gene_29:29478..29870_393_bp,Potential_gene_10:8416..8808_393_bp,,,,,,,
1,Potential_gene_61:61655..63013_1359_bp,,,,,,,,,
1,Potential_gene_18:15173..15358_186_bp,,,,,,,,,
1,Potential_gene_40:45564..46403_840_bp,,,,,,,,,
1,Potential_gene_89:101859..103580_1722_bp,,,,,,,,,
1,Potential_gene_17:21500..21850_351_bp,,,,,,,,,
4,Potential_gene_46:78453..79577_1125_bp,Potential_gene_16:48162..49286_1125_bp,Potential_gene_7:8555..9679_1125_bp,Potential_gene_7:4225..5349_1125_bp,,,,,,
2,Potential_gene_8:6190..7224_1035_bp,Potential_gene_10:7123..8157_1035_bp,,,,,,,,
2,Potential_gene_28:27506..28582_1077_bp,Potential_gene_6:5344..6420_1077_bp,,,,,,,,
1,Potential_gene_44:38854..39489_636_bp,,,,,,,,,
2,Potential_gene_8:4785..5003_219_bp,Potential_gene_13:6672..6890_219_bp,,,,,,,,
2,Potential_gene_9:6980..7732_753_bp,Potential_gene_8:6980..7732_753_bp,,,,,,,,
1,Potential_gene_50:34064..35044_981_bp,,,,,,,,,
1,Potential_gene_40:40850..42208_1359_bp,,,,,,,,,
2,Potential_gene_18:18826..19452_627_bp,Potential_gene_86:81677..82303_627_bp,,,,,,,,
3,Potential_gene_57:55936..57585_1650_bp,Potential_gene_3:1979..3628_1650_bp,Potential_gene_9:10310..11959_1650_bp,,,,,,,
4,Potential_gene_8:9695..10132_438_bp,Potential_gene_8:5365..5802_438_bp,Potential_gene_47:79593..80030_438_bp,Potential_gene_17:49302..49739_438_bp,,,,,,
1,Potential_gene_26:16449..17084_636_bp,,,,,,,,,
6,Potential_gene_3:1060..1488_429_bp,Potential_gene_13:9327..9755_429_bp,Potential_gene_22:53264..53692_429_bp,Potential_gene_13:13657..14085_429_bp,Potential_gene_2:650..1078_429_bp,Potential_gene_52:83555..83983_429_bp,,,,
8,Potential_gene_3:2850..3035_186_bp,Potential_gene_13:10385..10570_186_bp,Potential_gene_7:5248..5433_186_bp,Potential_gene_3:2000..2185_186_bp,Potential_gene_5:4263..4448_186_bp,Potential_gene_15:12112..12297_186_bp,Potential_gene_9:7991..8176_186_bp,Potential_gene_26:20266..20451_186_bp,,
2,Potential_gene_2:2000..2998_999_bp,Potential_gene_2:831..1829_999_bp,,,,,,,,
1,Potential_gene_67:70473..73622_3150_bp,,,,,,,,,
3,Potential_gene_18:19706..19975_270_bp,Potential_gene_10:10764..11033_270_bp,Potential_gene_18:20903..21172_270_bp,,,,,,,
3,Potential_gene_9:8486..10981_2496_bp,Potential_gene_46:43766..46261_2496_bp,Potential_gene_36:34237..36732_2496_bp,,,,,,,
4,Potential_gene_17:17406..17909_504_bp,Potential_gene_3:2000..2503_504_bp,Potential_gene_1:205..708_504_bp,Potential_gene_2:973..1476_504_bp,,,,,,
2,Potential_gene_7:3694..4539_846_bp,Potential_gene_113:123350..124195_846_bp,,,,,,,,
4,Potential_gene_75:63984..64910_927_bp,Potential_gene_4:2138..3064_927_bp,Potential_gene_5:3728..4654_927_bp,Potential_gene_6:4384..5310_927_bp,,,,,,
1,Potential_gene_31:29732..30178_447_bp,,,,,,,,,
3,Potential_gene_15:11881..13038_1158_bp,Potential_gene_2:2000..3157_1158_bp,Potential_gene_4:3727..4884_1158_bp,,,,,,,
1,Potential_gene_7:7585..9249_1665_bp,,,,,,,,,
1,Potential_gene_24:25172..25372_201_bp,,,,,,,,,
1,Potential_gene_44:42883..44502_1620_bp,,,,,,,,,
2,Potential_gene_1:30..884_855_bp,Potential_gene_118:126996..127850_855_bp,,,,,,,,
1,Potential_gene_2:376..612_237_bp,,,,,,,,,
